spend_date,channel,spend
2025-01-01,Google Ads,234.77
2025-01-01,Meta Ads,156.18
2025-01-01,TikTok Ads,86.6
2025-01-01,Email,29.03
2025-01-02,Google Ads,211.4
2025-01-02,Meta Ads,209.86
2025-01-02,TikTok Ads,80.03
2025-01-02,Email,33.31
2025-01-03,Google Ads,266.14
2025-01-03,Meta Ads,190.06
2025-01-03,TikTok Ads,93.46
2025-01-03,Email,38.47
2025-01-04,Google Ads,266.74
2025-01-04,Meta Ads,187.32
2025-01-04,TikTok Ads,102.87
2025-01-04,Email,36.94
2025-01-05,Google Ads,208.17
2025-01-05,Meta Ads,171.71
2025-01-05,TikTok Ads,107.73
2025-01-05,Email,33.74
2025-01-06,Google Ads,202.08
2025-01-06,Meta Ads,195.47
2025-01-06,TikTok Ads,79.27
2025-01-06,Email,30.92
2025-01-07,Google Ads,240.48
2025-01-07,Meta Ads,184.88
2025-01-07,TikTok Ads,93.32
2025-01-07,Email,34.15
2025-01-08,Google Ads,200.58
2025-01-08,Meta Ads,203.16
2025-01-08,TikTok Ads,89.88
2025-01-08,Email,34.35
2025-01-09,Google Ads,281.78
2025-01-09,Meta Ads,188.95
2025-01-09,TikTok Ads,91.36
2025-01-09,Email,36.15
2025-01-10,Google Ads,234.29
2025-01-10,Meta Ads,164.55
2025-01-10,TikTok Ads,77.38
2025-01-10,Email,31.53
2025-01-11,Google Ads,299.82
2025-01-11,Meta Ads,166.28
2025-01-11,TikTok Ads,93.62
2025-01-11,Email,30.64
2025-01-12,Google Ads,223.85
2025-01-12,Meta Ads,181.16
2025-01-12,TikTok Ads,105.91
2025-01-12,Email,39.95
2025-01-13,Google Ads,204.91
2025-01-13,Meta Ads,184.97
2025-01-13,TikTok Ads,76.56
2025-01-13,Email,32.86
2025-01-14,Google Ads,271.62
2025-01-14,Meta Ads,167.74
2025-01-14,TikTok Ads,90.96
2025-01-14,Email,40.43
2025-01-15,Google Ads,252.73
2025-01-15,Meta Ads,183.88
2025-01-15,TikTok Ads,104.28
2025-01-15,Email,34.59
2025-01-16,Google Ads,223.11
2025-01-16,Meta Ads,176.21
2025-01-16,TikTok Ads,81.19
2025-01-16,Email,32.16
2025-01-17,Google Ads,292.02
2025-01-17,Meta Ads,198.52
2025-01-17,TikTok Ads,79.66
2025-01-17,Email,37.72
2025-01-18,Google Ads,227.44
2025-01-18,Meta Ads,174.69
2025-01-18,TikTok Ads,78.44
2025-01-18,Email,35.12
2025-01-19,Google Ads,271.88
2025-01-19,Meta Ads,199.79
2025-01-19,TikTok Ads,91.97
2025-01-19,Email,37.63
2025-01-20,Google Ads,219.7
2025-01-20,Meta Ads,160.21
2025-01-20,TikTok Ads,87.05
2025-01-20,Email,33.03
2025-01-21,Google Ads,273.4
2025-01-21,Meta Ads,192.52
2025-01-21,TikTok Ads,90.1
2025-01-21,Email,32.53
2025-01-22,Google Ads,246.06
2025-01-22,Meta Ads,173.58
2025-01-22,TikTok Ads,87.79
2025-01-22,Email,33.99
2025-01-23,Google Ads,293.4
2025-01-23,Meta Ads,214.77
2025-01-23,TikTok Ads,91.03
2025-01-23,Email,34.37
2025-01-24,Google Ads,242.7
2025-01-24,Meta Ads,144.14
2025-01-24,TikTok Ads,94.68
2025-01-24,Email,35.26
2025-01-25,Google Ads,229.09
2025-01-25,Meta Ads,159.7
2025-01-25,TikTok Ads,91.63
2025-01-25,Email,39.99
2025-01-26,Google Ads,209.88
2025-01-26,Meta Ads,180.39
2025-01-26,TikTok Ads,85.06
2025-01-26,Email,36.23
2025-01-27,Google Ads,222.23
2025-01-27,Meta Ads,174.64
2025-01-27,TikTok Ads,102.29
2025-01-27,Email,37.55
2025-01-28,Google Ads,209.08
2025-01-28,Meta Ads,175.98
2025-01-28,TikTok Ads,99.43
2025-01-28,Email,36.46
2025-01-29,Google Ads,279.24
2025-01-29,Meta Ads,208.93
2025-01-29,TikTok Ads,105.45
2025-01-29,Email,40.6
2025-01-30,Google Ads,207.48
2025-01-30,Meta Ads,172.31
2025-01-30,TikTok Ads,99.61
2025-01-30,Email,38.17
2025-01-31,Google Ads,222.81
2025-01-31,Meta Ads,171.1
2025-01-31,TikTok Ads,74.89
2025-01-31,Email,30.85
2025-02-01,Google Ads,241.25
2025-02-01,Meta Ads,205.16
2025-02-01,TikTok Ads,86.12
2025-02-01,Email,36.32
2025-02-02,Google Ads,216.6
2025-02-02,Meta Ads,210.77
2025-02-02,TikTok Ads,105.5
2025-02-02,Email,30.96
2025-02-03,Google Ads,208.24
2025-02-03,Meta Ads,188.81
2025-02-03,TikTok Ads,98.94
2025-02-03,Email,37.09
2025-02-04,Google Ads,226.47
2025-02-04,Meta Ads,163.27
2025-02-04,TikTok Ads,73.55
2025-02-04,Email,29.49
2025-02-05,Google Ads,263.73
2025-02-05,Meta Ads,165.68
2025-02-05,TikTok Ads,74.35
2025-02-05,Email,36.06
2025-02-06,Google Ads,237.42
2025-02-06,Meta Ads,159.58
2025-02-06,TikTok Ads,95.52
2025-02-06,Email,40.22
2025-02-07,Google Ads,202.59
2025-02-07,Meta Ads,152.28
2025-02-07,TikTok Ads,106.97
2025-02-07,Email,32.8
2025-02-08,Google Ads,260.25
2025-02-08,Meta Ads,188.41
2025-02-08,TikTok Ads,96.6
2025-02-08,Email,32.18
2025-02-09,Google Ads,282.71
2025-02-09,Meta Ads,176.67
2025-02-09,TikTok Ads,84.21
2025-02-09,Email,40.76
2025-02-10,Google Ads,283.73
2025-02-10,Meta Ads,213.53
2025-02-10,TikTok Ads,95.11
2025-02-10,Email,34.25
2025-02-11,Google Ads,298.86
2025-02-11,Meta Ads,196.87
2025-02-11,TikTok Ads,78.62
2025-02-11,Email,33.84
2025-02-12,Google Ads,243.27
2025-02-12,Meta Ads,181.9
2025-02-12,TikTok Ads,94.02
2025-02-12,Email,32.57
2025-02-13,Google Ads,297.24
2025-02-13,Meta Ads,156.45
2025-02-13,TikTok Ads,98.56
2025-02-13,Email,32.48
2025-02-14,Google Ads,213.94
2025-02-14,Meta Ads,176.33
2025-02-14,TikTok Ads,99.13
2025-02-14,Email,30.13
2025-02-15,Google Ads,275.55
2025-02-15,Meta Ads,174.98
2025-02-15,TikTok Ads,77.9
2025-02-15,Email,32.75
2025-02-16,Google Ads,266.25
2025-02-16,Meta Ads,190.39
2025-02-16,TikTok Ads,76.05
2025-02-16,Email,31.33
2025-02-17,Google Ads,227.23
2025-02-17,Meta Ads,208.76
2025-02-17,TikTok Ads,95.22
2025-02-17,Email,38.81
2025-02-18,Google Ads,256.03
2025-02-18,Meta Ads,196.09
2025-02-18,TikTok Ads,78.05
2025-02-18,Email,36.85
2025-02-19,Google Ads,262.35
2025-02-19,Meta Ads,166.01
2025-02-19,TikTok Ads,100.0
2025-02-19,Email,38.0
2025-02-20,Google Ads,259.85
2025-02-20,Meta Ads,145.87
2025-02-20,TikTok Ads,87.92
2025-02-20,Email,35.97
2025-02-21,Google Ads,267.57
2025-02-21,Meta Ads,167.49
2025-02-21,TikTok Ads,98.7
2025-02-21,Email,28.31
2025-02-22,Google Ads,246.51
2025-02-22,Meta Ads,190.77
2025-02-22,TikTok Ads,103.32
2025-02-22,Email,35.83
2025-02-23,Google Ads,233.07
2025-02-23,Meta Ads,212.44
2025-02-23,TikTok Ads,92.06
2025-02-23,Email,28.11
2025-02-24,Google Ads,239.52
2025-02-24,Meta Ads,193.34
2025-02-24,TikTok Ads,100.33
2025-02-24,Email,31.5
2025-02-25,Google Ads,224.1
2025-02-25,Meta Ads,191.96
2025-02-25,TikTok Ads,91.54
2025-02-25,Email,37.29
2025-02-26,Google Ads,280.47
2025-02-26,Meta Ads,202.94
2025-02-26,TikTok Ads,91.66
2025-02-26,Email,38.21
2025-02-27,Google Ads,218.35
2025-02-27,Meta Ads,152.23
2025-02-27,TikTok Ads,105.8
2025-02-27,Email,34.19
2025-02-28,Google Ads,250.1
2025-02-28,Meta Ads,174.96
2025-02-28,TikTok Ads,72.4
2025-02-28,Email,30.16
2025-03-01,Google Ads,224.53
2025-03-01,Meta Ads,209.68
2025-03-01,TikTok Ads,92.74
2025-03-01,Email,29.49
2025-03-02,Google Ads,281.48
2025-03-02,Meta Ads,164.48
2025-03-02,TikTok Ads,104.71
2025-03-02,Email,37.97
2025-03-03,Google Ads,235.27
2025-03-03,Meta Ads,160.53
2025-03-03,TikTok Ads,80.31
2025-03-03,Email,33.66
2025-03-04,Google Ads,294.55
2025-03-04,Meta Ads,206.03
2025-03-04,TikTok Ads,95.6
2025-03-04,Email,41.95
2025-03-05,Google Ads,214.09
2025-03-05,Meta Ads,197.0
2025-03-05,TikTok Ads,74.32
2025-03-05,Email,30.75
2025-03-06,Google Ads,251.81
2025-03-06,Meta Ads,167.37
2025-03-06,TikTok Ads,107.72
2025-03-06,Email,39.93
2025-03-07,Google Ads,216.28
2025-03-07,Meta Ads,154.14
2025-03-07,TikTok Ads,90.72
2025-03-07,Email,36.64
2025-03-08,Google Ads,251.59
2025-03-08,Meta Ads,159.15
2025-03-08,TikTok Ads,97.39
2025-03-08,Email,33.57
2025-03-09,Google Ads,292.6
2025-03-09,Meta Ads,169.93
2025-03-09,TikTok Ads,73.3
2025-03-09,Email,41.79
2025-03-10,Google Ads,230.35
2025-03-10,Meta Ads,215.71
2025-03-10,TikTok Ads,82.43
2025-03-10,Email,35.09
2025-03-11,Google Ads,282.0
2025-03-11,Meta Ads,176.39
2025-03-11,TikTok Ads,86.3
2025-03-11,Email,39.39
2025-03-12,Google Ads,211.81
2025-03-12,Meta Ads,147.7
2025-03-12,TikTok Ads,74.27
2025-03-12,Email,32.03
2025-03-13,Google Ads,263.85
2025-03-13,Meta Ads,208.74
2025-03-13,TikTok Ads,92.68
2025-03-13,Email,33.51
2025-03-14,Google Ads,202.54
2025-03-14,Meta Ads,213.44
2025-03-14,TikTok Ads,101.73
2025-03-14,Email,40.85
2025-03-15,Google Ads,215.16
2025-03-15,Meta Ads,173.69
2025-03-15,TikTok Ads,105.37
2025-03-15,Email,39.68
2025-03-16,Google Ads,283.0
2025-03-16,Meta Ads,146.01
2025-03-16,TikTok Ads,91.04
2025-03-16,Email,28.64
2025-03-17,Google Ads,232.01
2025-03-17,Meta Ads,196.58
2025-03-17,TikTok Ads,80.11
2025-03-17,Email,34.92
2025-03-18,Google Ads,282.06
2025-03-18,Meta Ads,163.29
2025-03-18,TikTok Ads,85.45
2025-03-18,Email,41.29
2025-03-19,Google Ads,210.77
2025-03-19,Meta Ads,198.06
2025-03-19,TikTok Ads,103.24
2025-03-19,Email,41.83
2025-03-20,Google Ads,293.4
2025-03-20,Meta Ads,182.53
2025-03-20,TikTok Ads,87.97
2025-03-20,Email,35.1
2025-03-21,Google Ads,205.58
2025-03-21,Meta Ads,172.51
2025-03-21,TikTok Ads,106.5
2025-03-21,Email,37.66
2025-03-22,Google Ads,251.34
2025-03-22,Meta Ads,180.11
2025-03-22,TikTok Ads,91.91
2025-03-22,Email,41.88
2025-03-23,Google Ads,276.64
2025-03-23,Meta Ads,200.47
2025-03-23,TikTok Ads,75.76
2025-03-23,Email,28.7
2025-03-24,Google Ads,297.02
2025-03-24,Meta Ads,157.08
2025-03-24,TikTok Ads,92.39
2025-03-24,Email,32.02
2025-03-25,Google Ads,267.04
2025-03-25,Meta Ads,203.31
2025-03-25,TikTok Ads,90.03
2025-03-25,Email,28.63
2025-03-26,Google Ads,213.93
2025-03-26,Meta Ads,145.95
2025-03-26,TikTok Ads,104.1
2025-03-26,Email,29.23
2025-03-27,Google Ads,280.98
2025-03-27,Meta Ads,205.06
2025-03-27,TikTok Ads,105.21
2025-03-27,Email,34.31
2025-03-28,Google Ads,239.63
2025-03-28,Meta Ads,187.57
2025-03-28,TikTok Ads,79.26
2025-03-28,Email,31.24
2025-03-29,Google Ads,228.3
2025-03-29,Meta Ads,181.21
2025-03-29,TikTok Ads,85.96
2025-03-29,Email,40.16
2025-03-30,Google Ads,213.43
2025-03-30,Meta Ads,159.2
2025-03-30,TikTok Ads,98.71
2025-03-30,Email,35.26
2025-03-31,Google Ads,263.54
2025-03-31,Meta Ads,152.89
2025-03-31,TikTok Ads,105.98
2025-03-31,Email,29.69
2025-04-01,Google Ads,279.0
2025-04-01,Meta Ads,144.98
2025-04-01,TikTok Ads,96.11
2025-04-01,Email,30.47
2025-04-02,Google Ads,288.74
2025-04-02,Meta Ads,148.03
2025-04-02,TikTok Ads,96.34
2025-04-02,Email,41.72
2025-04-03,Google Ads,297.75
2025-04-03,Meta Ads,144.94
2025-04-03,TikTok Ads,90.14
2025-04-03,Email,34.56
2025-04-04,Google Ads,211.01
2025-04-04,Meta Ads,155.58
2025-04-04,TikTok Ads,97.69
2025-04-04,Email,31.64
2025-04-05,Google Ads,294.27
2025-04-05,Meta Ads,161.72
2025-04-05,TikTok Ads,74.71
2025-04-05,Email,30.34
2025-04-06,Google Ads,239.31
2025-04-06,Meta Ads,157.94
2025-04-06,TikTok Ads,85.52
2025-04-06,Email,32.07
2025-04-07,Google Ads,236.35
2025-04-07,Meta Ads,172.36
