customer_id,first_order_date,acquisition_channel
CUST00001,2025-04-13,Meta Ads
CUST00002,2025-12-15,Google Ads
CUST00003,2025-09-28,Google Ads
CUST00004,2025-04-17,Google Ads
CUST00005,2025-03-13,Google Ads
CUST00006,2025-07-08,Email
CUST00007,2025-01-21,Google Ads
CUST00008,2025-04-13,TikTok Ads
CUST00009,2025-05-02,Google Ads
CUST00010,2025-08-03,Meta Ads
CUST00011,2025-11-27,TikTok Ads
CUST00012,2025-03-29,Meta Ads
CUST00013,2025-04-10,Meta Ads
CUST00014,2025-12-26,Meta Ads
CUST00015,2025-06-01,Google Ads
CUST00016,2025-05-11,Email
CUST00017,2025-05-30,TikTok Ads
CUST00018,2025-11-05,Email
CUST00019,2025-09-15,Google Ads
CUST00020,2025-12-10,Meta Ads
CUST00021,2025-10-21,Email
CUST00022,2025-07-11,Google Ads
CUST00023,2025-10-04,Google Ads
CUST00024,2025-06-10,Meta Ads
CUST00025,2025-11-10,Meta Ads
CUST00026,2025-01-22,TikTok Ads
CUST00027,2025-09-10,Google Ads
CUST00028,2025-08-24,TikTok Ads
CUST00029,2025-12-11,Google Ads
CUST00030,2025-02-18,Google Ads
CUST00031,2025-02-28,Google Ads
CUST00032,2025-06-19,TikTok Ads
CUST00033,2025-07-07,Meta Ads
CUST00034,2025-09-28,Meta Ads
CUST00035,2025-07-09,Google Ads
CUST00036,2025-06-24,TikTok Ads
CUST00037,2025-02-20,Google Ads
CUST00038,2025-12-30,TikTok Ads
CUST00039,2025-02-24,Meta Ads
CUST00040,2025-09-01,Google Ads
CUST00041,2025-11-16,Meta Ads
CUST00042,2025-05-11,Google Ads
CUST00043,2025-11-03,Meta Ads
CUST00044,2025-05-15,Meta Ads
CUST00045,2025-01-21,Google Ads
CUST00046,2025-11-25,TikTok Ads
CUST00047,2025-06-16,Google Ads
CUST00048,2025-10-01,Meta Ads
CUST00049,2025-03-30,Email
CUST00050,2025-11-12,Meta Ads
CUST00051,2025-01-14,Google Ads
CUST00052,2025-08-30,Email
CUST00053,2025-09-22,Meta Ads
CUST00054,2025-12-12,Google Ads
CUST00055,2025-02-22,Google Ads
CUST00056,2025-12-06,TikTok Ads
CUST00057,2025-04-02,Meta Ads
CUST00058,2025-09-21,Meta Ads
CUST00059,2025-02-04,TikTok Ads
CUST00060,2025-07-25,TikTok Ads
CUST00061,2025-03-22,Google Ads
CUST00062,2025-02-19,Google Ads
CUST00063,2025-12-26,Google Ads
CUST00064,2025-01-02,Meta Ads
CUST00065,2025-02-23,Google Ads
CUST00066,2025-04-16,Meta Ads
CUST00067,2025-09-17,TikTok Ads
CUST00068,2025-11-06,TikTok Ads
CUST00069,2025-07-10,Google Ads
CUST00070,2025-08-06,TikTok Ads
CUST00071,2025-02-13,Google Ads
CUST00072,2025-06-11,TikTok Ads
CUST00073,2025-07-21,Google Ads
CUST00074,2025-09-27,Google Ads
CUST00075,2025-12-17,TikTok Ads
CUST00076,2025-10-31,Google Ads
CUST00077,2025-09-28,Google Ads
CUST00078,2025-08-03,Meta Ads
CUST00079,2025-09-09,Meta Ads
CUST00080,2025-07-09,Meta Ads
CUST00081,2025-10-23,Meta Ads
CUST00082,2025-08-01,Meta Ads
CUST00083,2025-07-27,Google Ads
CUST00084,2025-08-25,Google Ads
CUST00085,2025-12-04,Google Ads
CUST00086,2025-02-22,Email
CUST00087,2025-10-07,Meta Ads
CUST00088,2025-08-05,Meta Ads
CUST00089,2025-09-09,Meta Ads
CUST00090,2025-07-07,Email
CUST00091,2025-02-10,Google Ads
CUST00092,2025-06-06,Meta Ads
CUST00093,2025-01-15,Meta Ads
CUST00094,2025-10-28,Meta Ads
CUST00095,2025-03-06,Google Ads
CUST00096,2025-12-11,TikTok Ads
CUST00097,2025-11-23,Email
CUST00098,2025-01-09,Meta Ads
CUST00099,2025-12-10,Meta Ads
CUST00100,2025-05-09,Email
CUST00101,2025-05-16,Meta Ads
CUST00102,2025-03-04,Google Ads
CUST00103,2025-05-19,Meta Ads
CUST00104,2025-03-22,Meta Ads
CUST00105,2025-06-12,Meta Ads
CUST00106,2025-10-16,Meta Ads
CUST00107,2025-09-18,Email
CUST00108,2025-08-19,Email
CUST00109,2025-02-10,Meta Ads
CUST00110,2025-01-28,Google Ads
CUST00111,2025-05-15,Email
CUST00112,2025-07-20,TikTok Ads
CUST00113,2025-11-24,Google Ads
CUST00114,2025-09-25,Email
CUST00115,2025-02-02,TikTok Ads
CUST00116,2025-02-17,Meta Ads
CUST00117,2025-03-03,Meta Ads
CUST00118,2025-08-04,Google Ads
CUST00119,2025-10-20,Google Ads
CUST00120,2025-04-09,Google Ads
CUST00121,2025-06-21,TikTok Ads
CUST00122,2025-12-26,Google Ads
CUST00123,2025-08-02,Google Ads
CUST00124,2025-02-04,Google Ads
CUST00125,2025-08-15,Meta Ads
CUST00126,2025-04-11,Email
CUST00127,2025-05-11,Google Ads
CUST00128,2025-09-14,Google Ads
CUST00129,2025-01-05,Meta Ads
CUST00130,2025-08-06,Meta Ads
CUST00131,2025-09-12,Google Ads
CUST00132,2025-12-25,Meta Ads
CUST00133,2025-10-10,Google Ads
CUST00134,2025-07-26,Google Ads
CUST00135,2025-01-15,Meta Ads
CUST00136,2025-12-12,Meta Ads
CUST00137,2025-02-11,Email
CUST00138,2025-06-28,Google Ads
CUST00139,2025-03-04,Meta Ads
CUST00140,2025-12-18,Meta Ads
CUST00141,2025-08-19,Google Ads
CUST00142,2025-08-29,Meta Ads
CUST00143,2025-02-21,Google Ads
CUST00144,2025-04-06,Email
CUST00145,2025-08-10,Google Ads
CUST00146,2025-08-19,Meta Ads
CUST00147,2025-08-25,Google Ads
CUST00148,2025-05-23,Email
CUST00149,2025-06-20,Meta Ads
CUST00150,2025-01-29,Meta Ads
CUST00151,2025-02-05,Google Ads
CUST00152,2025-01-13,Meta Ads
CUST00153,2025-06-09,Google Ads
CUST00154,2025-11-23,TikTok Ads
CUST00155,2025-07-06,Google Ads
CUST00156,2025-08-31,Google Ads
CUST00157,2025-03-27,Google Ads
CUST00158,2025-10-11,Meta Ads
CUST00159,2025-03-07,Meta Ads
CUST00160,2025-06-19,Google Ads
CUST00161,2025-02-14,TikTok Ads
CUST00162,2025-03-03,Meta Ads
CUST00163,2025-05-14,Meta Ads
CUST00164,2025-10-11,Meta Ads
CUST00165,2025-01-28,Meta Ads
CUST00166,2025-04-18,Meta Ads
CUST00167,2025-02-13,Google Ads
CUST00168,2025-12-06,Google Ads
CUST00169,2025-10-13,TikTok Ads
CUST00170,2025-11-27,Email
CUST00171,2025-05-08,Google Ads
CUST00172,2025-12-14,Google Ads
CUST00173,2025-08-19,Meta Ads
CUST00174,2025-07-09,Meta Ads
CUST00175,2025-08-13,Google Ads
CUST00176,2025-10-10,Google Ads
CUST00177,2025-05-01,Meta Ads
CUST00178,2025-04-26,Meta Ads
CUST00179,2025-08-21,Google Ads
CUST00180,2025-09-16,Google Ads
CUST00181,2025-12-25,Google Ads
CUST00182,2025-07-17,Meta Ads
CUST00183,2025-05-17,Google Ads
CUST00184,2025-11-14,Google Ads
CUST00185,2025-06-14,TikTok Ads
