order_id,customer_id,order_date,revenue
ORD000001,CUST00001,2025-04-13,97.46
ORD000002,CUST00002,2025-12-15,143.74
ORD000003,CUST00003,2025-09-28,47.02
ORD000004,CUST00004,2025-04-17,92.22
ORD000005,CUST00005,2025-03-13,266.0
ORD000006,CUST00006,2025-07-08,224.18
ORD000007,CUST00007,2025-01-21,87.45
ORD000008,CUST00008,2025-04-13,114.25
ORD000009,CUST00009,2025-05-02,79.36
ORD000010,CUST00010,2025-08-03,63.13
ORD000011,CUST00011,2025-11-27,81.57
ORD000012,CUST00012,2025-03-29,115.21
ORD000013,CUST00013,2025-04-10,102.9
ORD000014,CUST00014,2025-12-26,191.83
ORD000015,CUST00015,2025-06-01,26.63
ORD000016,CUST00016,2025-05-11,30.4
ORD000017,CUST00017,2025-05-30,86.69
ORD000018,CUST00018,2025-11-05,148.97
ORD000019,CUST00019,2025-09-15,170.93
ORD000020,CUST00020,2025-12-10,65.15
ORD000021,CUST00021,2025-10-21,5.11
ORD000022,CUST00022,2025-07-11,66.85
ORD000023,CUST00023,2025-10-04,135.01
ORD000024,CUST00024,2025-06-10,101.52
ORD000025,CUST00025,2025-11-10,152.64
ORD000026,CUST00026,2025-01-22,221.39
ORD000027,CUST00027,2025-09-10,91.21
ORD000028,CUST00028,2025-08-24,72.83
ORD000029,CUST00029,2025-12-11,49.5
ORD000030,CUST00030,2025-02-18,30.23
ORD000031,CUST00031,2025-02-28,22.89
ORD000032,CUST00032,2025-06-19,60.15
ORD000033,CUST00033,2025-07-07,202.31
ORD000034,CUST00034,2025-09-28,162.5
ORD000035,CUST00035,2025-07-09,70.19
ORD000036,CUST00036,2025-06-24,365.07
ORD000037,CUST00037,2025-02-20,63.55
ORD000038,CUST00038,2025-12-30,234.84
ORD000039,CUST00039,2025-02-24,270.38
ORD000040,CUST00040,2025-09-01,141.25
ORD000041,CUST00041,2025-11-16,59.7
ORD000042,CUST00042,2025-05-11,77.59
ORD000043,CUST00043,2025-11-03,117.18
ORD000044,CUST00044,2025-05-15,31.06
ORD000045,CUST00045,2025-01-21,45.6
ORD000046,CUST00046,2025-11-25,42.38
ORD000047,CUST00047,2025-06-16,148.5
ORD000048,CUST00048,2025-10-01,220.03
ORD000049,CUST00049,2025-03-30,166.72
ORD000050,CUST00050,2025-11-12,197.18
ORD000051,CUST00051,2025-01-14,55.65
ORD000052,CUST00052,2025-08-30,80.28
ORD000053,CUST00053,2025-09-22,84.95
ORD000054,CUST00054,2025-12-12,140.88
ORD000055,CUST00055,2025-02-22,61.5
ORD000056,CUST00056,2025-12-06,189.36
ORD000057,CUST00057,2025-04-02,265.68
ORD000058,CUST00058,2025-09-21,145.75
ORD000059,CUST00059,2025-02-04,77.61
ORD000060,CUST00060,2025-07-25,51.64
ORD000061,CUST00061,2025-03-22,42.47
ORD000062,CUST00062,2025-02-19,14.46
ORD000063,CUST00063,2025-12-26,86.92
ORD000064,CUST00064,2025-01-02,83.24
ORD000065,CUST00065,2025-02-23,181.85
ORD000066,CUST00066,2025-04-16,64.79
ORD000067,CUST00067,2025-09-17,90.61
ORD000068,CUST00068,2025-11-06,125.4
ORD000069,CUST00069,2025-07-10,144.16
ORD000070,CUST00070,2025-08-06,168.38
ORD000071,CUST00071,2025-02-13,116.88
ORD000072,CUST00072,2025-06-11,32.8
ORD000073,CUST00073,2025-07-21,135.72
ORD000074,CUST00074,2025-09-27,61.09
ORD000075,CUST00075,2025-12-17,226.66
ORD000076,CUST00076,2025-10-31,104.27
ORD000077,CUST00077,2025-09-28,121.84
ORD000078,CUST00078,2025-08-03,448.52
ORD000079,CUST00079,2025-09-09,170.32
ORD000080,CUST00080,2025-07-09,134.05
ORD000081,CUST00081,2025-10-23,92.61
ORD000082,CUST00082,2025-08-01,35.41
ORD000083,CUST00083,2025-07-27,87.75
ORD000084,CUST00084,2025-08-25,51.1
ORD000085,CUST00085,2025-12-04,286.22
ORD000086,CUST00086,2025-02-22,135.27
ORD000087,CUST00087,2025-10-07,221.39
ORD000088,CUST00088,2025-08-05,63.32
ORD000089,CUST00089,2025-09-09,54.26
ORD000090,CUST00090,2025-07-07,159.49
ORD000091,CUST00091,2025-02-10,49.37
ORD000092,CUST00092,2025-06-06,73.18
ORD000093,CUST00093,2025-01-15,294.79
ORD000094,CUST00094,2025-10-28,75.47
ORD000095,CUST00095,2025-03-06,28.71
ORD000096,CUST00096,2025-12-11,19.05
ORD000097,CUST00097,2025-11-23,25.4
ORD000098,CUST00098,2025-01-09,229.77
ORD000099,CUST00099,2025-12-10,66.53
ORD000100,CUST00100,2025-05-09,439.84
ORD000101,CUST00101,2025-05-16,267.61
ORD000102,CUST00102,2025-03-04,339.23
ORD000103,CUST00103,2025-05-19,200.45
ORD000104,CUST00104,2025-03-22,153.94
ORD000105,CUST00105,2025-06-12,52.64
ORD000106,CUST00106,2025-10-16,102.41
ORD000107,CUST00107,2025-09-18,164.39
ORD000108,CUST00108,2025-08-19,192.48
ORD000109,CUST00109,2025-02-10,38.55
ORD000110,CUST00110,2025-01-28,88.79
ORD000111,CUST00111,2025-05-15,96.58
ORD000112,CUST00112,2025-07-20,93.79
ORD000113,CUST00113,2025-11-24,43.33
ORD000114,CUST00114,2025-09-25,314.52
ORD000115,CUST00115,2025-02-02,86.57
ORD000116,CUST00116,2025-02-17,46.13
ORD000117,CUST00117,2025-03-03,319.38
ORD000118,CUST00118,2025-08-04,267.78
ORD000119,CUST00119,2025-10-20,113.62
ORD000120,CUST00120,2025-04-09,71.48
ORD000121,CUST00121,2025-06-21,23.41
ORD000122,CUST00122,2025-12-26,146.3
ORD000123,CUST00123,2025-08-02,67.61
ORD000124,CUST00124,2025-02-04,100.61
ORD000125,CUST00125,2025-08-15,301.72
ORD000126,CUST00126,2025-04-11,63.74
ORD000127,CUST00127,2025-05-11,142.07
ORD000128,CUST00128,2025-09-14,171.66
ORD000129,CUST00129,2025-01-05,225.22
ORD000130,CUST00130,2025-08-06,95.32
ORD000131,CUST00131,2025-09-12,88.11
ORD000132,CUST00132,2025-12-25,86.57
ORD000133,CUST00133,2025-10-10,132.82
ORD000134,CUST00134,2025-07-26,260.64
ORD000135,CUST00135,2025-01-15,83.61
ORD000136,CUST00136,2025-12-12,7.0
ORD000137,CUST00137,2025-02-11,184.46
ORD000138,CUST00138,2025-06-28,107.78
ORD000139,CUST00139,2025-03-04,146.52
ORD000140,CUST00140,2025-12-18,24.32
ORD000141,CUST00141,2025-08-19,67.82
ORD000142,CUST00142,2025-08-29,174.66
ORD000143,CUST00143,2025-02-21,34.31
ORD000144,CUST00144,2025-04-06,141.86
ORD000145,CUST00145,2025-08-10,100.01
ORD000146,CUST00146,2025-08-19,56.77
ORD000147,CUST00147,2025-08-25,53.02
ORD000148,CUST00148,2025-05-23,43.69
ORD000149,CUST00149,2025-06-20,107.37
ORD000150,CUST00150,2025-01-29,116.5
ORD000151,CUST00151,2025-02-05,77.48
ORD000152,CUST00152,2025-01-13,41.34
ORD000153,CUST00153,2025-06-09,139.09
ORD000154,CUST00154,2025-11-23,186.67
ORD000155,CUST00155,2025-07-06,156.57
ORD000156,CUST00156,2025-08-31,347.87
ORD000157,CUST00157,2025-03-27,89.53
ORD000158,CUST00158,2025-10-11,244.51
ORD000159,CUST00159,2025-03-07,61.37
ORD000160,CUST00160,2025-06-19,53.56
ORD000161,CUST00161,2025-02-14,112.16
ORD000162,CUST00162,2025-03-03,279.54
ORD000163,CUST00163,2025-05-14,82.26
ORD000164,CUST00164,2025-10-11,24.31
ORD000165,CUST00165,2025-01-28,184.35
ORD000166,CUST00166,2025-04-18,96.93
ORD000167,CUST00167,2025-02-13,126.79
ORD000168,CUST00168,2025-12-06,55.9
ORD000169,CUST00169,2025-10-13,111.42
ORD000170,CUST00170,2025-11-27,28.08
ORD000171,CUST00171,2025-05-08,317.57
ORD000172,CUST00172,2025-12-14,207.09
ORD000173,CUST00173,2025-08-19,107.85
ORD000174,CUST00174,2025-07-09,181.0
ORD000175,CUST00175,2025-08-13,61.5
ORD000176,CUST00176,2025-10-10,201.14
ORD000177,CUST00177,2025-05-01,79.51
ORD000178,CUST00178,2025-04-26,75.22
ORD000179,CUST00179,2025-08-21,46.32
ORD000180,CUST00180,2025-09-16,137.9
ORD000181,CUST00181,2025-12-25,104.5
ORD000182,CUST00182,2025-07-17,249.55
ORD000183,CUST00183,2025-05-17,41.74
ORD000184,CUST00184,2025-11-14,138.33
ORD000185,CUST00185,2025-06-14,220.24
ORD000186,CUST00186,2025-08-13,117.98
ORD000187,CUST00187,2025-11-03,78.35
ORD000188,CUST00188,2025-08-22,115.85
ORD000189,CUST00189,2025-06-21,236.91
ORD000190,CUST00190,2025-06-01,236.85
ORD000191,CUST00191,2025-11-11,94.05
ORD000192,CUST00192,2025-06-09,234.22
ORD000193,CUST00193,2025-04-06,100.96
ORD000194,CUST00194,2025-08-21,179.68
ORD000195,CUST00195,2025-06-29,149.47
ORD000196,CUST00196,2025-04-23,75.95
ORD000197,CUST00197,2025-11-14,47.78
ORD000198,CUST00198,2025-02-21,223.98
ORD000199,CUST00199,2025-09-25,264.67
ORD000200,CUST00200,2025-10-22,136.09
ORD000201,CUST00201,2025-04-23,100.86
ORD000202,CUST00202,2025-04-11,37.11
ORD000203,CUST00203,2025-04-23,220.27
ORD000204,CUST00204,2025-03-22,125.46
ORD000205,CUST00205,2025-07-06,84.41
ORD000206,CUST00206,2025-04-23,183.04
ORD000207,CUST00207,2025-01-02,31.1
ORD000208,CUST00208,2025-05-10,44.35
ORD000209,CUST00209,2025-08-08,59.7
ORD000210,CUST00210,2025-02-23,146.33
ORD000211,CUST00211,2025-12-09,116.76
ORD000212,CUST00212,2025-08-12,158.13
ORD000213,CUST00213,2025-08-13,210.67
ORD000214,CUST00214,2025-05-06,161.95
ORD000215,CUST00215,2025-05-10,321.83
ORD000216,CUST00216,2025-02-22,210.35
ORD000217,CUST00217,2025-06-21,93.88
ORD000218,CUST00218,2025-08-06,67.46
ORD000219,CUST00219,2025-06-09,96.01
ORD000220,CUST00220,2025-07-17,165.74
ORD000221,CUST00221,2025-09-04,73.3
ORD000222,CUST00222,2025-11-20,168.79
ORD000223,CUST00223,2025-07-22,156.2
ORD000224,CUST00224,2025-07-03,47.2
ORD000225,CUST00225,2025-05-03,207.8
ORD000226,CUST00226,2025-09-12,132.81
ORD000227,CUST00227,2025-10-21,312.0
ORD000228,CUST00228,2025-10-07,101.21
ORD000229,CUST00229,2025-11-21,81.53
ORD000230,CUST00230,2025-04-08,42.1
